task_family,dataset,backend_group,model,backend,method,method_label,runs,seeds,budget_min,budget_max,best_acc_mean,best_acc_std,final_acc_mean,final_acc_std,stability_drop_mean,stability_drop_std,invalid_answer_rate_mean,avg_staleness_mean,client_gini_mean
text_mcqa,medmcqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,fedbuff_async,FedBuff,4,4,100,100,0.3485,0.006608075867199655,0.32775,0.013889444433333783,0.020749999999999977,0.013889444433333772,0.0,1.5125,0.20399999999999996
text_mcqa,medmcqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,naive_async,Naive Async,4,4,100,100,0.33775,0.00899536917900909,0.30325,0.03278592177546129,0.0345,0.024772296354328302,0.0,7.775,0.20399999999999996
text_mcqa,medmcqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,staleness_async,Staleness,4,4,100,100,0.33425,0.009499999999999977,0.306,0.027808871486152284,0.028249999999999997,0.019551214796017163,0.0,7.775,0.20399999999999996
text_mcqa,medmcqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,sync_fedavg,Sync,4,4,100,100,0.348,0.006976149845485425,0.323,0.004966554808583784,0.02499999999999998,0.00469041575982341,0.0,0.0,
text_mcqa,medqa_usmle,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,caa_fedbuff_v2,CAA-v2,3,3,50,50,0.2946666666666667,0.027153882472555076,0.276,0.04358898943540676,0.018666666666666682,0.01724335620850343,0.0,1.3666666666666665,0.1841481481481481
text_mcqa,medqa_usmle,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,fedbuff_async,FedBuff,3,3,50,50,0.2926666666666667,0.025716402029314567,0.272,0.0332866339541865,0.020666666666666667,0.011718930554164609,0.0,1.3666666666666665,0.1841481481481481
text_mcqa,medqa_usmle,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,naive_async,Naive Async,3,3,50,50,0.298,0.02107130750570548,0.268,0.02690724809414743,0.03000000000000001,0.0072111025509280086,0.0,7.226666666666667,0.1841481481481481
text_mcqa,medqa_usmle,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,staleness_async,Staleness,3,3,50,50,0.29533333333333334,0.021197484127446202,0.26666666666666666,0.025324559884296785,0.028666666666666674,0.02715388247255507,0.0,7.226666666666667,0.1841481481481481
text_mcqa,medqa_usmle,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,sync_fedavg,Sync,3,3,50,50,0.2853333333333333,0.019218047073866106,0.25533333333333336,0.030022213997860547,0.03,0.022715633383201067,0.0,0.0,
text_mcqa,mmlu,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,caa_fedbuff_v2,CAA-v2,4,4,100,100,0.404,0.011803954139750517,0.3935,0.014387494569938137,0.010499999999999995,0.009574271077563368,0.0,1.5125,0.20399999999999996
text_mcqa,mmlu,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,fedbuff_async,FedBuff,4,4,100,100,0.39825,0.012338962679253038,0.3915,0.013228756555322971,0.006749999999999978,0.002986078811194819,0.0,1.5125,0.20399999999999996
text_mcqa,mmlu,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,naive_async,Naive Async,4,4,100,100,0.38975000000000004,0.004031128874149281,0.3695,0.023923489154664142,0.020250000000000004,0.021515498289992413,0.0,7.775,0.20399999999999996
text_mcqa,mmlu,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,staleness_async,Staleness,4,4,100,100,0.3885,0.006952217871538076,0.3665,0.015842979517754843,0.022000000000000006,0.02004993765576341,0.0,7.775,0.20399999999999996
text_mcqa,mmlu,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,sync_fedavg,Sync,4,4,100,100,0.39949999999999997,0.010344080432788595,0.39175,0.018006943105369082,0.007749999999999993,0.007719024117939626,0.0,0.0,
text_mcqa,pubmedqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,caa_fedbuff_v2,CAA-v2,3,3,50,50,0.5,0.04582575694955843,0.39999999999999997,0.02783882181415013,0.10000000000000002,0.018027756377319952,0.0,1.3666666666666665,0.1841481481481481
text_mcqa,pubmedqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,fedbuff_async,FedBuff,3,3,50,50,0.48666666666666664,0.04481443219916254,0.38833333333333336,0.03329164059239698,0.09833333333333334,0.012583057392117902,0.0,1.3666666666666665,0.1841481481481481
text_mcqa,pubmedqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,naive_async,Naive Async,3,3,50,50,0.4666666666666666,0.02929732638541157,0.4166666666666667,0.025658007197234427,0.05000000000000001,0.04924428900898051,0.0,7.226666666666667,0.1841481481481481
text_mcqa,pubmedqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,staleness_async,Staleness,3,3,50,50,0.465,0.03605551275463989,0.4166666666666667,0.02081665999466133,0.04833333333333334,0.04932882862316245,0.0,7.226666666666667,0.1841481481481481
text_mcqa,pubmedqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,sync_fedavg,Sync,3,3,50,50,0.4466666666666666,0.022546248764114464,0.43999999999999995,0.029999999999999992,0.006666666666666672,0.00763762615825974,0.0,0.0,
